'Georgetown College',59.2
'The Main St Shopping Area/Downtown Georgetown',22.3
'Court House',13.4
'Cardome',11.9
'Historic Houses/Buildings',8.7
'Old Churches/Cemeteries',6.8
'Toyota',6
'Ward Hall',4.1
'Schools',4
'Downtown Anitque Shops',3.2
'Horse Farms',3.1
'Scott County Park',2.8
'Library',2.5
'Big Spring/Royal Spring',1.9
'Mallard Point',1.8
'Rural Areas',1.7
'Kentucky Horse Park',1.6
'Suffoleta Park',1.6
'County Parks',1.5
'Ball Parks',1.4
'Taking a Drive in the Country',1.1
'Churches',1
'Stamping Ground',1
'City Hall',0.9
'Fishing',0.9
'Elkhorn Creek',0.8
'Lakes',0.8
'Restaurants/Steak Houses',0.6
'Buffalo Spring Festival',0.5
'Log Cabin Museum',0.3
'Country Club/Longview',0.3
